inputtool,outputtools
bedtools_bedtobam,"bam_to_sam,bedtools_bamtofastq,htseq_count,rseqc_bam2wig,piranha,peakachu,fastqc,deeptools_multi_bam_summary"
gmx_em,"gmx_sim,gmx_npt,gmx_editconf,gmx_makendx,gmx_nvt"
CONVERTER_bedgraph_to_bigwig,"metilene,deeptools_compute_matrix,deeptools_computeMatrix,CONVERTER_interval_to_bgzip_0"
samtools_view,"lofreq_alnqual,samtools_fastx,bamtools,tp_sort_header_tool,racon,samtools_sort,samtools_flagstat,cufflinks"
filter_16s_wrapper_script 1,uit_megablast_wrapper
uit_megablast_wrapper,lcaclassifier_wrapper_script 1
lcaclassifier_wrapper_script 1,taxonomy_krona_chart
blockbuster,"cat1,p_clip_peaks,tp_awk_tool,tp_cat,blockclust"
trimmer,"tp_easyjoin_tool,comp1,fasta2tab,Convert characters1,fastq_groomer,sort1,cshl_princeton_fastx_barcode_splitter,tp_replace_in_column,Cut1,addValue,histogram_rpy,bowtie2,cshl_fastx_renamer,deeptools_multi_bam_summary,filter_by_fasta_ids"
snippy_core,"qiime_make_phylogeny,fasttree,iqtree"
ProteinQuantifier,"Summary_Statistics1,tp_tail_tool"
tmhmm2,"Filter1,Cut1,cshl_find_and_replace"
picard_ARRG,"sam_merge2,picard_MarkDuplicates,picard_MergeSamFiles,freebayes,samtools_mpileup"
rseqc_geneBody_coverage,multiqc
signalp3,"tab2fasta,Grep1"
sdf_to_tab,"collapse_dataset,tp_head_tool"
hicexplorer_hiccorrectmatrix,"hicexplorer_hictransform,hicexplorer_hicfindtads,hicexplorer_hicplottads,hicexplorer_hicplotmatrix,hicexplorer_hicpca"
bctools_remove_spurious_events,"bedtools_intersectbed,coords2clnt.py,bedtools_genomecoveragebed_bedgraph,wc_gnu"
computeMatrix,"dt_profiler,heatmapper_deepTools"
gtftobed12,"rseqc_read_distribution,featurecounts,gene2exon1,bedtools_getfastabed,rseqc_infer_experiment,rseqc_FPKM_count,Cut1,rseqc_geneBody_coverage"
openbabel_change_title,"collapse_dataset,sdf_to_tab"
trinity_run_de_analysis,trinity_analyze_diff_expr
trinity_analyze_diff_expr,trinity_define_clusters_by_cutting_tree
bamCoverage_deepTools,computeMatrix
stoceps_maketablecarrer,stoceps_filteringsp
stoceps_filteringsp,"Filter1,stoceps_glm,Count1,stoceps_trend_indic"
xcms_export_samplemetadata,xcms_merge
unzip,"tab2fasta,ip_histogram_equalization,ip_filter_standard,ip_convertimage,ip_2d_feature_extraction,ip_threshold,ip_imageinfo"
ip_filter_standard,"ip_histogram_equalization,ip_count_objects,ip_threshold"
ip_threshold,"ip_2d_split_binaryimage_by_watershed,ip_binary_to_labelimage,ip_convertimage,ip_count_objects"
ip_binary_to_labelimage,"ip_histogram_equalization,ip_count_objects,ip_convertimage"
ip_histogram_equalization,ip_convertimage
ip_convertimage,"ip_scale_image,ip_overlay_segmentation"
deeptools_bam_compare,"deeptools_compute_matrix,tp_sort_header_tool"
cummerbund_to_cuffdiff,"Cut1,Filter1,tp_sort_header_tool,join1"
rgPicFixMate,"bedtools_coveragebed,samtools_stats,freebayes,bedtools_genomecoveragebed,samtools_calmd,samtools_mpileup"
stoceps_glm,stoceps_glm_group
fastq_paired_end_splitter,"trimmomatic,trim_galore,fastqc"
PeakPickerHiRes,"FileConverter,XTandemAdapter,FileFilter,MSGFPlusAdapter"
xcms-find-peaks,"xcms-collect-peaks,camera-annotate-peaks"
xcms-collect-peaks,xcms-group-peaks
xcms-group-peaks,xcms-blankfilter
xcms-blankfilter,xcms-dilutionfilter
xcms-dilutionfilter,camera-annotate-peaks
camera-annotate-peaks,camera-group-fwhm
camera-group-fwhm,"camera-find-adducts,camera-find-isotopes"
camera-find-adducts,"map-msms2camera,msms2metfrag-multiple,camera-find-isotopes"
camera-find-isotopes,"msms2metfrag-multiple,camera-prepareoutput,map-msms2camera,camera-find-adducts"
map-msms2camera,msms2metfrag-multiple
msms2metfrag-multiple,metfrag-cli-batch-multiple
metfrag-cli-batch-multiple,passatutto
passatutto,camera-prepareoutput
camera-prepareoutput,"Multivariate,Univariate"
cshl_awk_replace_in_column,"Filter1,Cut1,Add_a_column1"
fasta_compute_length,"tp_sort_header_tool,sort1,Summary_Statistics1,join1,ggplot2_histogram,datamash_ops"
seqtk_sample,"unicycler,fasta2tab,fastq_to_fasta_python,fastp,trim_galore"
gmx_nvt,"gmx_npt,gmx_md"
gmx_npt,gmx_md
tb_variant_filter,"tbvcfreport,bcftools_consensus"
snp_sites,"param_value_from_file,iqtree"
sam_pileup,"Grouping1,varscan,Summary_Statistics1,addValue,pileup_parser"
cp_measure_granularity,cp_measure_texture
cp_measure_texture,cp_measure_object_intensity
cp_measure_object_intensity,cp_measure_object_size_shape
cp_measure_object_size_shape,"cp_relate_objects,cp_export_to_spreadsheet"
cshl_fasta_nucleotides_changer,"cshl_fastx_reverse_complement,sed_stream_editor"
shovill,"antismash,ncbi_blastn_wrapper,mlst,abricate,cat_summarise,prokka,cat_contigs,PlasFlow,quast,staramr_search,bwa_mem,bandage_image,kraken2"
mass_spectrometry_imaging_mzplots,sort1
enumerate_charges,"openbabel_compound_convert,split_file_to_collection"
rdock_rbcavity,rdock_rbdock
xchem_pose_scoring,"sucos_max_score,rdock_sort_filter"
Extractor,"ncbi_tblastn_wrapper,GeneModelMapper"
GeneModelMapper,GeMoMa_Annotation_Filter
macs2_filterdup,macs2_callpeak
fastq_manipulation,"fastq_to_fasta_python,fastq_groomer,cd_hit_dup,rbc_mirdeep2_mapper,fastqc"
rbc_mirdeep2_mapper,"rbc_mirdeep2,rbc_mirdeep2_quantifier,hisat2"
rbc_mirdeep2_quantifier,"tp_sort_header_tool,sort1,tp_cut_tool"
picard_FastqToSam,TagBamWithReadSequenceExtended
TagBamWithReadSequenceExtended,FilterBAM
FilterBAM,BAMTagHistogram
BAMTagHistogram,Kneeplot
disco,"bowtie2,quast,valet"
hca_matrix_downloader,scanpy_read_10x
sam2interval,Filter1
edger,"Filter1,join1,__EXTRACT_DATASET__"
bctools_extract_crosslinked_nucleotides,tp_awk_tool
__APPLY_RULES__,"tp_find_and_replace,fastqc,deseq2,ruvseq,cutadapt,tp_cat"
flash,"cat1,fastq_paired_end_joiner,fastq_to_fasta_python,cshl_fastx_barcode_splitter,fastqc"
cshl_sed_tool,"cshl_find_and_replace,addValue"
__EXTRACT_DATASET__,"megahit_contig2fastg,__FILTER_FROM_FILE__,cutadapt,fastqc,cshl_fastx_trimmer"
maxquant,"Remove beginning1,Filter1,Cut1"
chira_collapse,chira_map
chira_map,chira_merge
chira_merge,chira_quantify
chira_quantify,chira_extract
chira_extract,query_tabular
lofreq_viterbi,"lofreq_indelqual,lofreq_call"
lofreq_indelqual,"lofreq_alnqual,lofreq_call"
lofreq_alnqual,"lofreq_indelqual,lofreq_call"
gops_merge_1,"gops_cluster_1,Cut1,tp_sort_header_tool"
gops_cluster_1,"deeptools_compute_matrix,charts"
tp_unfold_column_tool,"datamash_ops,Remove beginning1,uniprot,Grep1"
glimmer_not-knowlegde-based,"ncbi_blastx_wrapper,ncbi_blastn_wrapper,EMBOSS: transeq101"
ncbi_blastx_wrapper,"tab2fasta,blastxml_to_top_descr,blast2go,bg_uniq"
gspan,nspdk_sparse
flaimapper,htseq_count
rsem_prepare_reference,rsem_calculate_expression
rsem_calculate_expression,Filter1
replace_column_with_key_value_file,tp_tail_tool
hicexplorer_hicsummatrices,hicexplorer_hiccorrectmatrix
hicexplorer_hicfindtads,"hicexplorer_hicplottads,hicexplorer_hicpca,Cut1"
cshl_find_and_replace,"tp_replace_in_line,CONVERTER_interval_to_bed_0,Convert characters1,gops_intersect_1,mergeCols1,Count1,addValue,gops_subtract_1"
mummer_nucmer,mummer_delta_filter
mummer_delta_filter,mummer_show_coords
mummer_show_coords,mummer_mummerplot
cuffquant,cuffdiff
ProteinInference,"FileInfo,FalseDiscoveryRate"
retrieve_from_hpa,IDconverter
IDconverter,"cluter_profiler,rna_abbased_data"
rna_abbased_data,MQoutputfilter
MQoutputfilter,"reactome_analysis,cluter_profiler,Jvenn"
velveth,velvetg
gatk2_variant_filtration,"gatk2_base_recalibrator,snpEff"
scanpy_cluster_reduce_dimension,"ucsc_cell_browser,scanpy_plot"
interproscan,"featurecounts,tp_grep_tool,jbrowse,sort1,deseq2,tp_cat"
EMBOSS: transeq101,"fasta2tab,rbc_mafft,fasta_compute_length,ncbi_blastp_wrapper,ncbi_makeblastdb,t_coffee,EMBOSS: fuzzpro38,filter_by_fasta_ids"
EMBOSS: tranalign100,"treebest_best,fasttree,hyphy_absrel,hyphy_gard,iqtree"
methtools_filter,"methtools_dmr,wc_gnu,Paste1"
CONVERTER_sam_to_unsorted_bam,"CONVERTER_bam_to_coodinate_sorted_bam,samtools_sort"
vsearch_clustering,"idba_hybrid,muscle"
msnbase-read-msms,"msnbase-filter-merge-msms,map-msms2camera"
vcf_filter,tp_sort_header_tool
sam_bw_filter,"sam_to_bam,subtract_query1,extract_aln_ends.py"
rawtools,search_gui
combine_metaphlan2_humann2,Grouping1
usearch_derep_full,"map_reads_otu,cluster_otu"
cluster_otu,uchime
map_reads_otu,"rarefaction,rdpmulticlassifier,mothur_collect_single"
blast_parser,hcluster_sg
hcluster_sg,hcluster_sg_parser
hcluster_sg_parser,"trimmer,t_coffee"
treebest_best,gafa
t_coffee,"EMBOSS: tranalign100,gafa"
bg_diamond,"blastxml_to_top_descr,comp1"
bedtools_multiintersectbed,"chipseeker,Add_a_column1,vcfbedintersect,Filter1,bedtools_mergebed,Cut1"
CONVERTER_bam_to_coodinate_sorted_bam,"samtools_mpileup,picard_MergeSamFiles,macs2_callpeak,jbrowse"
dada2_filterAndTrim,__UNZIP_COLLECTION__
miniasm,"gfa_to_fa,racon,bandage_image"
gfa_to_fa,"racon,quast,minimap2"
ggplot2_heatmap2,featurecounts
seqtk_subseq,"cshl_fastx_reverse_complement,minimap2"
samtools_fixmate,samtools_sort
bedtools_intersectBed,"wc_gnu,sort1"
get_subontology_from,"term_id_vs_term_def,term_id_vs_term_name"
term_id_vs_term_name,"tp_easyjoin_tool,comp1"
CONVERTER_bed_to_bgzip_0,"CONVERTER_bed_gff_or_vcf_to_bigwig_0,deeptools_computeMatrix"
samtools_merge,"featurecounts,samtools_bedcov"
samtools_bedcov,Add_a_column1
ip_scale_image,ip_viz_overlay_moving_and_fixed_image
translate_bed,"bed_to_protein_map,fasta_merge_files_and_filter_unique_sequences"
seqtk_mergepe,"mummer_nucmer,seqtk_mergefa,mummer_mummer,mothur_merge_files,qiime_align_seqs,lastz_wrapper_2"
locarna_multiple,"infernal_cmbuild,cmv,selectsequencesfrommsa"
CONVERTER_bed_to_gff_0,"Remove beginning1,CONVERTER_interval_to_bedstrict_0,featurecounts,htseq_count"
EMBOSS: seqret84,"EMBOSS: revseq82,EMBOSS: wordcount109,EMBOSS: geecee41,fasta_compute_length,EMBOSS: getorf42"
cshl_grep_tool,"Summary_Statistics1,trimmer,Add_a_column1"
raceid_filtnormconf,"__BUILD_LIST__,raceid_clustering"
raceid_clustering,"raceid_trajectory,raceid_inspectclusters"
selectsequencesfrommsa,"rnaz,viennarna_rnaalifold,rbc_rnacode"
lastz_wrapper_2,"tp_replace_in_line,collapse_dataset,Cut1,deeptools_bam_compare"
gatk4_mutect2,lofreq_filter
scaffold2fasta,"prokaryotic_ncbi_submission,eukaryotic_ncbi_submission"
prokaryotic_ncbi_submission,antismash
tb_profiler_profile,tbvcfreport
picard_CollectInsertSizeMetrics,multiqc
ctb_rdkit_descriptors,"tp_easyjoin_tool,tp_grep_tool"
smf_utils_find-boxes,"tp_replace_in_line,smf_utils_extract-boxed-sequences,tp_split_on_column"
bedtools_coveragebed_counts,Add_a_column1
sklearn_train_test_split,sklearn_ensemble
IDFileConverter,"seq_composition,PeptideIndexer,FileInfo,FalseDiscoveryRate"
msconvert3_raw,"silac_analyzer,XTandemAdapter,proteomics_search_tandem_1"
silac_analyzer,openms_id_mapper
openms_id_mapper,openms_protein_quantifier
chipsequtil_maptoknowngenes,pieplots_macs
hgv_snpFreq,sort1
qiime_validate_mapping_file,"qiime_split_libraries_fastq,qiime_make_otu_heatmap,qiime_core_diversity,qiime_summarize_taxa_through_plots,qiime_split_libraries,qiime_make_otu_table"
qiime_split_libraries_fastq,"qiime_pick_open_reference_otus,qiime_count_seqs"
qiime_pick_open_reference_otus,qiime_core_diversity
snpSift_extractFields,"Remove beginning1,collapse_dataset,Cut1,Grouping1"
sucos_docking_scoring,tp_cat
EMBOSS: fuzzpro38,"comp1,Grep1"
sklearn_svm_classifier,"sklearn_clf_metrics,tp_tail_tool,plotly_ml_performance_plots"
EMBOSS: shuffleseq87,"EMBOSS: water107,ncbi_blastn_wrapper,ncbi_makeblastdb,fasta2tab"
smf_utils_fix-fasta-headers,"smf_utils_extract-boxed-sequences,smf_utils_find-boxes"
cshl_fastx_trimmer,"cat1,fasta2tab,fastq_to_fasta_python,cshl_fastx_reverse_complement,cshl_fastx_barcode_splitter,bowtie_wrapper,bowtie2,fastq_filter,trimmomatic,cshl_fastq_quality_filter,fasta_filter_by_length,fastqc,tophat2"
cardinal_filtering,"maldi_quant_preprocessing,cardinal_preprocessing,cardinal_quality_report,cardinal_mz_images,cardinal_data_exporter,cardinal_combine,cardinal_spectra_plots,cardinal_classification,cardinal_segmentations"
sample_seqs,"ncbi_blastn_wrapper,hisat2,fasta2tab,fastqc,ncbi_blastx_wrapper,macs2_bdgcmp,trim_galore"
fastq_join,"fastq_manipulation,cshl_fastq_to_fasta,fastq_to_fasta_python,fastqc,fastq_filter,cutadapt"
picard_MarkDuplicatesWithMateCigar,"freebayes,samtools_rmdup,picard_CleanSam"
flexbar_split_RYYR_bcs,"flexbardsc,flexbar"
rseqc_read_distribution,multiqc
chembl,"openbabel_svg_depiction,addValue,docking,tp_cat"
ssake,ncbi_blastn_wrapper
prepare_ligand,docking
megahit,"fraggenescan,metaphlan2,valet,__EXTRACT_DATASET__,quast,fastq_combiner,bowtie2"
term_id_vs_term_def,"tp_easyjoin_tool,comp1"
qiime_split_libraries,"qiime_pick_rep_set,qiime_pick_otus"
qiime_pick_rep_set,"pick_open_reference_otus,qiime_align_seqs,ncbi_blastn_wrapper,qiime_assign_taxonomy"
qiime_align_seqs,"qiime_filter_alignment,fasttree"
qiime_filter_alignment,qiime_make_phylogeny
qiime_make_phylogeny,qiime_make_otu_heatmap
Sff_extractor,"sickle,fastqc"
Nucleosome,"Filter1,Add_a_column1"
mothur_trim_seqs,"iReport,mothur_count_seqs,mothur_screen_seqs"
calc_fitness,aggregate
PlasFlow,"staramr_search,abricate,mlst"
mothur_heatmap_sim,mothur_venn
mothur_venn,mothur_tree_shared
newick_display,mothur_make_biom
mothur_make_biom,"interactive_tool_phinch,mothur_taxonomy_to_krona"
bcftools_view,"snpEff,snpSift_filter"
diffbind,"chipseeker,bedtools_getfastabed"
je_markdupes,"sam_merge2,gatk2_indel_realigner,featurecounts,picard_AddOrReplaceReadGroups,rseqc_bam2wig,samtools_idxstats,freebayes,bedtools_genomecoveragebed,htseq_count"
compose_text_param,"regex1,Add_a_column1"
mimodd_varcall,mimodd_varextract
mimodd_varextract,"snpEff,mimodd_vcf_filter,mimodd_map"
cshl_fastx_renamer,"trim_galore,fastqc,cshl_fastx_collapser,cshl_fastx_clipper"
tp_split_on_column,"cat1,__FILTER_FROM_FILE__,tp_awk_tool,blockbuster,param_value_from_file,bedtools_intersectbed"
minion_search_adapter,trim_galore
mira_assembler,"quast,busco,augustus"
deeptools_multi_bigwig_summary,"tp_split_on_column,deeptools_plot_correlation,deeptools_plot_pca,tp_head_tool"
mass_spectrometry_imaging_combine,"mass_spectrometry_imaging_mzplots,mass_spectrometry_imaging_qc,mass_spectrometry_imaging_preprocessing,maldi_quant_preprocessing"
rnafold,tp_cat
qiime_pick_otus,"qiime_pick_rep_set,qiime_make_otu_table"
qiime_make_otu_table,qiime_summarize_taxa_through_plots
qiime_summarize_taxa_through_plots,qiime_make_otu_heatmap
sklearn_build_pipeline,"sklearn_searchcv,sklearn_estimator_attributes,sklearn_model_validation"
sklearn_searchcv,"sklearn_stacking_ensemble_models,plotly_parallel_coordinates_plot,ggplot2_point,sklearn_ensemble"
ncbi_acc_download,"ncbi_blastn_wrapper,picard_NormalizeFasta"
picard_NormalizeFasta,"predict_pipeline,bamleftalign,freebayes,bwa_mem,tp_sed_tool"
picard_FixMateInformation,"PicardASMetrics,picard_AddOrReplaceReadGroups,picard_BamIndexStats,picard_MarkDuplicates,rgPicFixMate,PicardInsertSize"
mothur_get_seqs,mothur_unique_seqs
cat_contigs,cat_add_names
cat_add_names,cat_summarise
pynast,"FastTree,fasttree"
msconvert_win,msconvert_nix
msconvert_nix,search_gui
bedtools_coveragebed,"Cut1,tp_sort_header_tool,Grep1"
cshl_fastx_quality_statistics,"cshl_fastq_quality_boxplot,cshl_fastx_nucleotides_distribution"
cd_hit_protein,DecoyDatabase
deeptools_computeGCBias,"deeptools_correctGCBias,correctGCBias"
deeptools_correctGCBias,"deeptools_bigwigCompare,deeptools_bamCoverage"
tp_text_file_with_recurring_lines,"__FILTER_FROM_FILE__,tp_cat"
deseq2_single,"Filter1,gtf_filter_by_attribute_values_list,CONVERTER_gff_to_bed_0,Show beginning1"
t2t_report,multiqc
samtools_calmd,"varscan_somatic,bamFilter,bedtools_coveragebed,samtools_stats,bedtools_multicovtbed,freebayes,samtools_mpileup"
raceid_trajectory,raceid_inspecttrajectory
fastq_combiner,"metaspades,cutadapt"
bedtools_groupbybed,tp_easyjoin_tool
prepare_box,docking
CONVERTER_fasta_to_tabular,addValue
segemehl,"bedtools_bamtobed,jbrowse,featurecounts,samtools_view,rseqc_bam2wig,htseq_count"
tophat,"picard_ReorderSam,filter_bed_on_splice_junctions,samtools_flagstat,cufflinks,samtools_mpileup"
vcftools_annotate,"filter_columns,Filter1,Grouping1"
openms_id_file_converter,"openms_id_mapper,openms_protein_quantifier"
filter_bed_on_splice_junctions,"Extract genomic DNA 1,translate_bed_sequences,tp_cat"
proteomics_moff,"tp_replace_in_column,lfq_protein_quant,sort1,tp_sed_tool"
ambertools_acpype,gmx_merge_topology_files
gmx_merge_topology_files,"gmx_solvate,gmx_em,gmx_editconf"
deeptools_bamCompare,deeptools_computeMatrix
abims_xcms_retcor,"abims_xcms_fillPeaks,xcms_plot_chromatogram"
cshl_fastx_barcode_splitter,"__BUILD_LIST__,bwa_mem,__EXTRACT_DATASET__,__APPLY_RULES__"
peakcalling_macs14,"computeMatrix,cshl_awk_tool"
eukaryotic_ncbi_submission,antismash
ctb_alignit_create_db,ctb_alignit
picard_SamToFastq,predict_pipeline
msconvert2_raw,search_gui
idr-embl,diffbind-embl
myrimatch,"IDFileConverter,FileInfo"
wiggle2simple1,tp_awk_tool
bedtools_map,Filter1
sqlite_to_tabular,"tp_replace_in_column,regexColumn1"
bed_to_protein_map,tp_cat
jq,Filter1
cp_common,cp_identify_primary_objects
cp_identify_primary_objects,"cp_convert_objects_to_image,cp_measure_object_size_shape"
cp_convert_objects_to_image,"cp_image_math,cp_display_data_on_image,cp_gray_to_color"
cp_display_data_on_image,cp_save_images
cp_save_images,cp_measure_granularity
cp_relate_objects,cp_measure_image_quality
cp_measure_image_quality,cp_measure_image_area_occupied
cp_measure_image_area_occupied,cp_measure_image_intensity
cp_measure_image_intensity,cp_export_to_spreadsheet
abyss-pe,"mlst,quast,staramr_search,bandage_image,augustus"
EMBOSS: water107,cshl_grep_tool
uniprotxml_downloader,"ncbi_blastp_wrapper,hmmer_jackhmmer,ncbi_makeblastdb"
maxbin2,"abricate,cat_bins,prokka"
picard_CollectGcBiasMetrics,multiqc
ctb_ob_addh,ctb_remove_protonation_state
raceid_inspectclusters,__BUILD_LIST__
re_he_maldi_image_registration,"ip_projective_transformation_points,viz_overlay_moving_and_fixed_image,ip_projective_transformation"
16Saligner,mcClust
htseq-count,deseq2
ctb_silicos_qed,Filter1
aggregate_scores_in_intervals2,Summary_Statistics1
sklearn_numeric_clustering,Paste1
sccaf_regress_out,scanpy_scale_data
2_map,3_filter_single_pair
3_filter_single_pair,4_filter_sam
6_parse_discord,conf4circos
metagene_annotator,sixgill_build
hicexplorer_chicqualitycontrol,"hicexplorer_chicviewpointbackgroundmodel,hicexplorer_chicviewpoint"
hicexplorer_chicviewpoint,"hicexplorer_chicsignificantinteractions,hicexplorer_chicaggregatestatistic"
align_back_trans,iqtree
ip_2d_split_binaryimage_by_watershed,"ip_2d_feature_extraction,ip_2d_filter_segmentation_by_features"
cd_hit_dup,kraken
kraken,"kraken-report,kraken-translate,kraken-filter"
kraken-filter,kraken-report
kraken-report,"biom_convert,Filter1,kraken-mpa-report,taxonomy_krona_chart"
scanpy_parameter_iterator,"scanpy_run_tsne,scanpy_find_cluster"
FeatureLinkerUnlabeledKD,IDConflictResolver
pileup_parser,"pileup_interval,Filter1,Cut1,Add_a_column1"
Datamash,"join1,tp_cut_tool"
gff2bed1,"rseqc_inner_distance,rseqc_infer_experiment"
dada2_learnErrors,dada2_dada
metams_runGC,"Determine_BC,Batch_correction"
genbank_to_gff,"bedtools_intersectbed,Remove beginning1,rna_star"
bp_genbank2gff3,Extract_features1
Univariate,"Remove beginning1,Multivariate,w4mcorcov"
vcfcheck,snpEff
rbc_mirdeep2,tp_cat
fastq collapser,enhanced_bowtie_wrapper
EMBOSS: geecee41,Convert characters1
bedtools_unionbedgraph,"tp_awk_tool,Add_a_column1"
gemini_recessive_and_dominant,"Remove beginning1,Show beginning1,tp_head_tool"
blastxml_to_tabular_selectable,query_tabular
liftOver1,rna_starsolo
bam-filter,picard_MarkDuplicates
fastq_mcf,gsnap
gsnap,sam_to_bam
filter,assign
assign,polyA
polyA,extract
modencode_peakcalling_spp,NFS_transfer
sklearn_estimator_attributes,sklearn_searchcv
ip_projective_transformation,ia_coordinates_of_roi
cds_essential_variability,"gdal_gdalinfo,shyft_longitudes,psy_maps"
psy_maps,graphicsmagick_image_convert
gatk_realigner_target_creator,gatk_indel_realigner
gatk_indel_realigner,"gatk_unified_genotyper,samtools_mpileup"
rbc_splitfasta,"interproscan,viennarna_rnafold"
samtools_slice_bam,"stringtie,freebayes,deeptools_bam_coverage,bedtools_coveragebed"
pipmir,bedtools_getfastabed
format_metaphlan2_output,"XY_Plot_1,taxonomy_krona_chart"
Extract_RNA_seq_Evidence,GeneModelMapper
keras_model_config,"keras_batch_models,keras_model_builder"
rdock_sort_filter,sucos_max_score
heinz_scoring,heinz
heinz,heinz_visualization
abricate,"addName,tp_cat"
parmconv,mmpbsa_mmgbsa
RNAlien,"cmv,selectsequencesfrommsa,infernal_cmstat"
proteomics_search_protein_prophet_1,openms_id_file_converter
hicexplorer_hictransform,hicexplorer_hicplotmatrix
velvet,"fasta-stats,quast"
bg_protein_properties,"Summary_Statistics1,tp_easyjoin_tool"
scanpy_remove_confounders,scanpy_inspect
diapysef,OpenSwathAssayGenerator
OpenSwathAssayGenerator,OpenSwathDecoyGenerator
OpenSwathDecoyGenerator,"OpenSwathWorkflow,TargetedFileConverter"
group_humann2_uniref_abundances_to_go,tp_sort_header_tool
ctb_ob_svg_depiction,ctb_osra
snpSift_rmInfo,"snpEff,Grep1"
idba_hybrid,"fasta-stats,bowtie2"
msgfplus,"IDFileConverter,percolator_input_converters,idpqonvert"
idpqonvert,"idpquery,idpassemble"
idpassemble,idpquery
mimodd_header,mimodd_convert
mimodd_convert,"bwa,mimodd_reheader"
EMBOSS: newseq59,"EMBOSS: water107,EMBOSS: shuffleseq87"
mimodd_rebase,"mimodd_info,mimodd_vcf_filter,mimodd_map"
md_converter,"bio3d_rmsd,mdanalysis_cosine_analysis,bio3d_pca_visualize,vmd_hbonds,bio3d_rmsf,mmpbsa_mmgbsa,bio3d_pca"
vcf2pgSnp,rnbeads
rnbeads,tp_cut_tool
vcftools_isec,"snpEff,snpSift_filter"
scanpy_regress_variable,scanpy_scale_data
run_sccaf,"sccaf_asses_merger,sccaf_asses"
IDMassAccuracy,"histogram_rpy,ggplot2_histogram"
ivar_consensus,ivar_variants
gene2exon1,Filter1
svm_classifier,plotly_ml_performance_plots
__FILTER_FROM_FILE__,"unicycler,datamash_transpose,cshl_fastx_barcode_splitter,tp_head_tool"
pileup_interval,gops_basecoverage_1
bedtools_shufflebed,"bedtools_intersectbed,Paste1,bedtools_coveragebed"
msnbase-filter-merge-msms,map-msms2camera
w4mjoinpn,"query_tabular,checkFormat"
minia,__FILTER_FAILED_DATASETS__
vg_view,vg_convert
vg_convert,vg_deconstruct
smf_utils_extract-boxed-sequences,smf_utils_estimate-energy
smf_utils_estimate-energy,smf_utils_filter-by-energy
ruvseq,deseq2
ete_genetree_splitter,"__FLATTEN__,cat1"
deeptools_plot_fingerprint,multiqc
deeptools_plot_heatmap,"Remove beginning1,cast"
metaquantome_expand,metaquantome_filter
metaquantome_filter,"metaquantome_stat,metaquantome_viz"
metaquantome_stat,metaquantome_viz
multiqc,"tp_head_tool,cutadapt,deseq2"
hicexplorer_hicnormalize,hicexplorer_hiccorrectmatrix
subtract_query1,filter_by_fasta_ids
mothur_split_groups,ncbi_blastn_wrapper
length_and_gc_content,ChangeCase
samtools_flag_filter,samtools_sort
bcftools_call,"vcfsort,bcftools_norm"
rarefaction_analyzer,XY_Plot_1
vigiechiro_idcorrect_2ndlayer,vigiechiro_idvalid
vigiechiro_idvalid,"vigiechiro_bilanenrichirp,vigiechiro_bilanenrichipf"
mimodd_reheader,bwa
EMBOSS: wordcount109,cat1
prepare_ligands_for_docking,docking
gff_to_sequence,antismash
limma_voom,"tp_cut_tool,Add_a_column1"
deeptools_compute_gc_bias,deeptools_correct_gc_bias
bedtools_complementbed,Filter1
tabular_to_csv,tp_find_and_replace
clustalw,rbc_mafft
heinz_bum,heinz_scoring
chipseeker,clusterprofiler_go
gatk_unified_genotyper,gatk_variant_select
gatk_variant_select,gatk_variant_filtration
gatk_variant_filtration,gatk_count_covariates
gatk_count_covariates,gatk_analyze_covariates
schicexplorer_schicqualitycontrol,schicexplorer_schicnormalize
schicexplorer_schicnormalize,"schicexplorer_schicplotclusterprofiles,schicexplorer_schicclustersvl,schicexplorer_schicconsensusmatrices"
schicexplorer_schicconsensusmatrices,schicexplorer_schicplotconsensusmatrices
mothur_make_design,"mothur_metastats,mothur_amova,mothur_homova"
species_tree_generator,treebest_best
ip_coordinates_of_roi,"ip_projective_transformation_points,imagecoordinates_flipaxis"
CometAdapter,PeptideIndexer
bcftools_mpileup,bcftools_call
bcftools_filter,"bedtools_intersectbed,bcftools_stats"
ip_2d_feature_extraction,ip_2d_filter_segmentation_by_features
CONVERTER_gff_to_bed_0,"rseqc_infer_experiment,samtools_mpileup"
ia_coordinates_of_roi,ip_projective_transformation_points
gops_coverage_1,"Filter1,cshl_grep_tool"
bigwig_to_bedgraph,"bedtools_intersectbed,tp_awk_tool,Add_a_column1,bedtools_unionbedgraph"
keras_batch_models,"keras_train_and_eval,sklearn_train_test_eval"
gmap_build,gsnap
gff_filter_by_attribute,gtf_filter_by_attribute_values_list
fasttree,"hyphy_absrel,graphlan"
xpath,tp_replace_in_line
macs2_bdgcmp,"macs2_bdgbroadcall,wig_to_bigWig"
macs2_bdgbroadcall,CONVERTER_interval_to_bed_0
vcfannotate,Grep1
FeatureFinderMetabo,"w4mclassfilter,tp_sed_tool"
w4mcorcov,query_tabular
vcffilter,snpSift_annotate
cardinal_segmentations,Filter1
sklearn_generalized_linear,plotly_regression_performance_plots
schicexplorer_schicclustersvl,"schicexplorer_schicplotclusterprofiles,schicexplorer_schicconsensusmatrices"
qiime_assign_taxonomy,qiime_make_otu_table
keras_model_builder,sklearn_model_validation
make_families,correct_barcodes
correct_barcodes,align_families
align_families,dunovo
